namespace,relation1,property,relation2,return_class
Timedelta,has_property,value,return_class,None
Timedelta,has_property,days,return_class,Int
Timedelta,has_property,nanoseconds,return_class,Int
Timedelta,has_property,seconds,return_class,Int
TimedeltaIndex,has_property,days,return_class,None
TimedeltaIndex,has_property,seconds,return_class,None
TimedeltaIndex,has_property,microseconds,return_class,None
TimedeltaIndex,has_property,nanoseconds,return_class,None
TimedeltaIndex,has_property,inferred_freq,return_class,None
TimedeltaIndex,has_property,components,return_class,Dataframe
Timestamp,has_property,asm8,return_class,None
Timestamp,has_property,day,return_class,None
Timestamp,has_property,fold,return_class,None
Timestamp,has_property,hour,return_class,None
Timestamp,has_property,microsecond,return_class,None
Timestamp,has_property,minute,return_class,None
Timestamp,has_property,month,return_class,None
Timestamp,has_property,nanosecond,return_class,None
Timestamp,has_property,second,return_class,None
Timestamp,has_property,tz,return_class,None
Timestamp,has_property,tzinfo,return_class,None
Timestamp,has_property,unit,return_class,None
Timestamp,has_property,value,return_class,None
Timestamp,has_property,year,return_class,None
Timestamp,has_property,is_leap_year,return_class,Bool
Timestamp,has_property,is_month_end,return_class,Bool
Timestamp,has_property,is_month_start,return_class,Bool
Timestamp,has_property,is_quarter_end,return_class,Bool
Timestamp,has_property,is_quarter_start,return_class,Bool
Timestamp,has_property,is_year_end,return_class,Bool
Timestamp,has_property,is_year_start,return_class,Bool
Timestamp,has_property,dayofweek,return_class,Int
Timestamp,has_property,day_of_week,return_class,Int
Timestamp,has_property,dayofyear,return_class,Int
Timestamp,has_property,day_of_year,return_class,Int
Timestamp,has_property,days_in_month,return_class,Int
Timestamp,has_property,daysinmonth,return_class,Int
Timestamp,has_property,quarter,return_class,Int
Timestamp,has_property,week,return_class,Int
Timestamp,has_property,weekofyear,return_class,Int
Week,has_property,freqstr,return_class,None
Week,has_property,kwds,return_class,None
Week,has_property,name,return_class,None
Week,has_property,nanos,return_class,None
Week,has_property,normalize,return_class,None
Week,has_property,rule_code,return_class,None
Week,has_property,n,return_class,None
Week,has_property,weekday,return_class,None
WeekOfMonth,has_property,freqstr,return_class,None
WeekOfMonth,has_property,kwds,return_class,None
WeekOfMonth,has_property,name,return_class,None
WeekOfMonth,has_property,nanos,return_class,None
WeekOfMonth,has_property,normalize,return_class,None
WeekOfMonth,has_property,rule_code,return_class,None
WeekOfMonth,has_property,n,return_class,None
WeekOfMonth,has_property,week,return_class,None
WeekOfMonth,has_property,weekday,return_class,None
YearBegin,has_property,freqstr,return_class,None
YearBegin,has_property,kwds,return_class,None
YearBegin,has_property,name,return_class,None
YearBegin,has_property,nanos,return_class,None
YearBegin,has_property,normalize,return_class,None
YearBegin,has_property,rule_code,return_class,None
YearBegin,has_property,n,return_class,None
YearBegin,has_property,month,return_class,None
YearEnd,has_property,freqstr,return_class,None
